Golden Gate Bridge	#Landmark#Single#Child	37.820208	-122.478277	Golden Gate Bridge, San Francisco, CA
Lombard Street	#Landmark#Family	37.804052	-122.417003	San Francisco, CA 94123
Sausalito	#Landmark#Friend	37.859908	-122.486717	100 Locust St # 1A, Sausalito, CA 949
San Francisco City Hall	#Landmark#Family	37.779702	-122.419165	1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102 
Brenda's French Soul Food	#Food#Family#Friend	37.783529	-122.419029	652 Polk St, San Francisco, CA 94102
Painted Ladies	#Landmark#Single#Family	37.776809	-122.432532	 Steiner St & Hayes St, San Francisco, CA 94117
Alamo Square Park	#Landmark#Couple#Family#Child	37.776456	-122.434759	Steiner St & Hayes Street, San Francisco, CA 94117
Raymond Kimbell Playground	#Landmark#Single#Child	37.782885	-122.435224	Geary Blvd & Steiner Street, San Francisco, CA 94115
San Francisco Botanical Garden	#Landmark#Family#Friend#Child	37.767177	-122.466976	1199 9th Ave, San Francisco, CA 94122
PIER 39	#Landmark#Food#Family#Friend#Child	37.810998	-122.410005	Beach St & The Embarcadero, San Francisco, CA 94133
Mama's On Washington Square	#Food#Family#Child#Couple	37.802196	-122.409469	1701 Stockton St, San Francisco, CA 94133
Bay Area Discovery Museum	#Landmark#Family#Child	37.836521	-122.47669	557 McReynolds Rd, Sausalito, CA 94965
Blackwood	#Food#Family#Couple#Friend	37.800802	-122.438802	2150 Chestnut St, San Francisco, CA 94123
atagonia San Francisco	#Shopping#Family#Single	37.806193	-122.419917	770 North Point St, San Francisco, CA 94109
Ghirardelli Square	#Shopping#Couple#Family	37.806147	-122.422882	900 North Point St, San Francisco, CA 94109
Fine art museum of San Francisco	#Art#Single#Child	37.790104	-122.469799	50 Hagiwara Tea Garden Dr, San Francisco, CA 94118
de Young Museum	#Art#Family#Adult	37.7720805	-122.5476852	50 Hagiwara Tea Garden Dr, San Francisco, CA 94118
Legion of Honor	#Art#Single#Elderly	37.786844	-122.500994	100 34th Ave, San Francisco, CA 94121
San Francisco Museum of Modern Art	#Art#Friend#Elderly	37.788472	-122.40143	151 3rd St, San Francisco, CA 94103
The Walt Disney Family Museum	#Art#Family#Adult	37.802579	-122.459109	104 Montgomery St, San Francisco, CA 94129
Cable Car Museum	#Art#Friend#Adult	37.799866	-122.413103	1201 Mason St, San Francisco, CA 94108
Gary Danko	#Food#Couple#Adult	37.807035	-122.420339	800 North Point St, San Francisco, CA 94109
Super Duper Burgers	#Food#Single#Elderly	37.787299	-122.40407	721 Market St, San Francisco, CA 94103
House of Prime Rib	#Food#Single#Elderly	37.793876	-122.422619	1906 Van Ness Ave, San Francisco, CA 94109
WestField San Francisco Centre	#Shopping#Single#Adult	37.784269	-122.406899	865 Market St, San Francisco, CA 94103
Embarcadero Center	#Shopping#Single#Adult	37.794782	-122.398487	San Francisco, CA 94111
Twin peaks	#Landmark#Couple#Elderly	37.752069	-122.44774	501 Twin Peaks Blvd, San Francisco, CA 94114
Alcatraz Island	#Art#Child#Elderly	37.826981	-122.423121	San Francisco, CA 94133
Angel Island State Park	#Art#Child#Elderly	37.863174	-122.4291	Tiburon, CA 94920
AT&T Park	#Landmark#Family	37.778974	-122.389453	24 Willie Mays Plaza, San Francisco, CA 94107
