AT&T Park	Super Duper Burgers	de Young Museum	PIER 39	Blackwood
37.778974	37.787299	37.7720805	37.810998	37.800802
-122.389453	-122.40407	-122.5476852	-122.410005	-122.438802
24 Willie Mays Plaza, San Francisco, CA 94107	721 Market St, San Francisco, CA 94103	50 Hagiwara Tea Garden Dr, San Francisco, CA 94118	Beach St & The Embarcadero, San Francisco, CA 94133	2150 Chestnut St, San Francisco, CA 94123
Lombard Street	Golden Gate Bridge	Alamo Square Park	House of Prime Rib	Twin peaks
37.8027179	37.8202448	37.776456	37.793876	37.752069
-122.4138976	-122.478277	-122.434759	-122.422619	-122.44774
Lombard St, San Francisco, CA 94133	Golden Gate Bridge, San Francisco, CA	Steiner St & Hayes Street, San Francisco, CA 94117	1906 Van Ness Ave, San Francisco, CA 94109	501 Twin Peaks Blvd, San Francisco, CA 94114
WestField San Francisco Centre	Gary Danko	Ghirardelli Square	Mama's On Washington Square	The Walt Disney Family Museum
37.784269	37.807035	37.806147	37.802196	37.802579
-122.406899	-122.420339	-122.422882	-122.409469	-122.459109
865 Market St, San Francisco, CA 94103	800 North Point St, San Francisco, CA 94109	900 North Point St, San Francisco, CA 94109	1701 Stockton St, San Francisco, CA 94133	104 Montgomery St, San Francisco, CA 94129
